YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,0.4,2.0,2.5,7.1,10.3,15.0,16.0,17.3,14.1,5.2,3.7,2.0,1.7,6.6,16.1,7.7,8.02
1881,-4.5,-3.0,-1.2,3.7,10.1,13.3,15.0,13.6,11.8,5.1,5.4,2.2,-1.8,4.2,14.0,7.4,5.94
1882,3.0,3.2,4.6,6.3,10.8,14.1,16.0,15.3,13.4,8.5,1.8,-1.3,2.8,7.2,15.1,7.9,8.27
1883,0.6,2.0,-1.3,5.4,10.4,13.6,16.4,14.8,12.3,8.2,4.5,2.1,0.4,4.8,14.9,8.3,7.13
1884,3.0,2.6,3.5,5.0,9.5,13.0,16.2,15.6,13.8,8.8,0.9,1.6,2.6,6.0,14.9,7.8,7.83
1885,-2.1,1.9,2.0,6.4,8.4,13.0,15.1,13.4,11.1,5.9,2.0,2.2,0.5,5.6,13.8,6.3,6.56
1886,-0.2,-2.8,-2.0,5.3,9.6,12.6,14.2,14.8,12.1,8.8,5.7,-1.0,-0.3,4.3,13.9,8.9,6.69
1887,-1.7,-0.2,0.4,4.7,9.1,13.6,15.5,14.3,11.5,6.8,3.4,0.3,-1.0,4.7,14.5,7.2,6.37
1888,-0.2,-2.1,-2.9,2.8,8.9,13.6,13.4,13.3,11.3,6.6,3.6,2.9,-0.7,2.9,13.4,7.2,5.72
1889,0.7,-2.1,0.0,5.3,14.7,16.8,14.5,14.2,10.3,7.8,4.9,0.1,0.5,6.7,15.2,7.7,7.50
1890,2.7,-0.3,3.1,5.0,11.9,12.4,13.6,14.0,13.2,8.1,3.9,-3.0,0.8,6.7,13.3,8.4,7.31
1891,3.6,0.7,0.4,4.3,9.6,14.4,15.4,14.1,13.0,9.8,2.5,2.7,0.4,4.8,14.6,8.4,7.07
1892,-0.9,-0.3,0.2,5.1,10.3,12.1,14.1,15.0,12.4,7.2,3.9,-0.8,0.5,5.2,13.7,7.8,6.82
1893,-5.2,-1.3,2.8,5.9,10.4,13.5,16.2,16.0,11.6,9.2,2.8,3.4,-2.4,6.4,15.2,7.9,6.76
1894,0.3,1.9,4.4,8.0,10.1,13.6,16.8,14.6,10.2,5.8,6.4,3.0,1.9,7.5,15.0,7.5,7.96
